frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"263","38.562686000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"264","38.562730000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"265","38.562802000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"266","38.562856000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"267","38.563178000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"268","38.640013000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"269","38.640087000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"270","38.679822000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"271","38.679826000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"272","38.679937000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"273","39.282187000","ARP",,,,,,,
"274","39.691694000","ARP",,,,,,,
"275","40.000521000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"276","40.000570000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"277","40.001018000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"278","40.102626000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"279","40.102739000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"280","40.142310000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"281","40.307438000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"282","40.715929000","ARP",,,,,,,
"283","40.920204000","ARP",,,,,,,
"284","41.322708000","TLSv1.2","6","192.168.68.126","192.0.73.2","49446","443",,
"285","41.322849000","TLSv1.2","6","192.168.68.126","192.0.73.2","49446","443",,
"286","41.366291000","TCP","6","192.0.73.2","192.168.68.126","443","49446",,
"287","41.366295000","TCP","6","192.0.73.2","192.168.68.126","443","49446",,
"288","41.366399000","TCP","6","192.168.68.126","192.0.73.2","49446","443",,
"289","41.739368000","ARP",,,,,,,
"290","41.944377000","ARP",,,,,,,
"291","42.149448000","ARP",,,,,,,
"292","42.866023000","ARP",,,,,,,
"293","43.378292000","ARP",,,,,,,
"294","44.299603000","ARP",,,,,,,
"295","44.504225000","ARP",,,,,,,
"296","44.520073000","DNS","17","192.168.68.126","71.10.216.1",,,"50411","53"
"297","44.521310000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"298","44.568800000","DNS","17","71.10.216.1","192.168.68.126",,,"53","50411"
"299","44.578990000","TCP","6","52.96.181.226","192.168.68.126","443","49474",,
"300","44.579209000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"301","44.580960000","TLSv1","6","192.168.68.126","52.96.181.226","49474","443",,
"302","44.644056000","TCP","6","52.96.181.226","192.168.68.126","443","49474",,
"303","44.644060000","TCP","6","52.96.181.226","192.168.68.126","443","49474",,
"304","44.644061000","TCP","6","52.96.181.226","192.168.68.126","443","49474",,
"305","44.644062000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"306","44.644170000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"307","44.644170000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"308","44.644324000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"309","44.656961000","TLSv1.2","6","192.168.68.126","52.96.181.226","49474","443",,
"310","44.703954000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"311","44.704049000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"312","44.705493000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"313","44.705494000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"314","44.705560000","TLSv1.2","6","192.168.68.126","52.96.181.226","49474","443",,
"315","44.705906000","TLSv1.2","6","192.168.68.126","52.96.181.226","49474","443",,
"316","44.764451000","TCP","6","52.96.181.226","192.168.68.126","443","49474",,
"317","44.840216000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"318","44.840221000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"319","44.840222000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"320","44.840223000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"321","44.840224000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"322","44.840225000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"323","44.840226000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"324","44.840227000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"325","44.840227000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"326","44.840228000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"327","44.840229000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"328","44.840229000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"329","44.840230000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"330","44.840231000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"331","44.840232000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"332","44.840232000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"333","44.840233000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"334","44.840233000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"335","44.840234000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"336","44.840235000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"337","44.840235000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"338","44.840236000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"339","44.840237000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"340","44.840238000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"341","44.840238000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"342","44.840239000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"343","44.840240000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"344","44.840240000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"345","44.840241000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"346","44.840242000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"347","44.840243000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"348","44.840243000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"349","44.840244000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"350","44.840386000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"351","44.840407000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"352","44.840407000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"353","44.840407000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"354","44.840407000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"355","44.840407000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"356","44.840408000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"357","44.840408000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"358","44.840419000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"359","44.840420000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"360","44.840420000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"361","44.840420000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"362","44.840420000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"363","44.840428000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"364","44.840428000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"365","44.840460000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"366","44.840460000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"367","44.840460000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"368","44.840461000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"369","44.840461000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"370","44.840461000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"371","44.840461000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"372","44.840491000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"373","44.840491000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"374","44.840491000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"375","44.840491000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"376","44.840491000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"377","44.840492000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"378","44.840492000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"379","44.840492000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"380","44.840492000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"381","44.840492000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"382","44.840492000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"383","44.846005000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"384","44.846008000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"385","44.846008000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"386","44.846009000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"387","44.846010000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
