frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"229","27.995603000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
"230","27.995682000","TCP","6","192.168.68.126","17.248.241.164","49486","443",,
"231","27.996907000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
"232","27.996911000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
"233","27.997077000","TCP","6","192.168.68.126","17.248.241.164","49486","443",,
"234","28.049983000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
"235","28.576455000","ARP",,,,,,,
"236","29.505927000","ARP",,,,,,,
"237","29.705241000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"238","29.705246000","ARP",,,,,,,
"239","29.998809000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"240","29.999120000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"241","29.999144000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"242","30.086926000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"243","30.087090000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"244","30.106071000","TLSv1.2","6","52.179.224.121","192.168.68.126","443","65215",,
"245","30.106243000","TCP","6","192.168.68.126","52.179.224.121","65215","443",,
"246","30.107591000","TCP","6","192.168.68.126","52.179.224.121","65215","443",,
"247","30.111697000","TCP","6","192.168.68.126","13.107.136.9","49485","443",,
"248","30.111698000","TLSv1.2","6","192.168.68.126","13.107.136.9","49485","443",,
"249","30.125399000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"250","30.157216000","TCP","6","13.107.136.9","192.168.68.126","443","49485",,
"251","30.204206000","TCP","6","52.179.224.121","192.168.68.126","443","65215",,
"252","30.204270000","TLSv1.2","6","192.168.68.126","52.179.224.121","65215","443",,
"253","30.279593000","TCP","6","13.107.136.9","192.168.68.126","443","49485",,
"254","30.279596000","TLSv1.2","6","13.107.136.9","192.168.68.126","443","49485",,
"255","30.279689000","TCP","6","192.168.68.126","13.107.136.9","49485","443",,
"256","30.287075000","TLSv1.2","6","13.107.136.9","192.168.68.126","443","49485",,
"257","30.287078000","TLSv1.2","6","13.107.136.9","192.168.68.126","443","49485",,
"258","30.287141000","TCP","6","192.168.68.126","13.107.136.9","49485","443",,
"259","30.287141000","TCP","6","192.168.68.126","13.107.136.9","49485","443",,
"260","30.297041000","TCP","6","52.179.224.121","192.168.68.126","443","65215",,
"261","30.523289000","ARP",,,,,,,
"262","30.931727000","ARP",,,,,,,
"263","32.160506000","ARP",,,,,,,
"264","33.184790000","ARP",,,,,,,
"265","33.389764000","ARP",,,,,,,
"266","34.106314000","ARP",,,,,,,
"267","34.618607000","ARP",,,,,,,
"268","35.642285000","ARP",,,,,,,
"269","35.847039000","ARP",,,,,,,
"270","36.154699000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"271","36.154704000","MDNS",,,,,,"5353","5353"
"272","36.666196000","ARP",,,,,,,
"273","37.076091000","ARP",,,,,,,
