frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"114","8.342578000","ARP",,,,,,,
"115","9.571331000","ARP",,,,,,,
"116","9.592199000","TCP","6","192.168.68.126","162.159.128.233","55864","443",,
"117","9.613596000","TCP","6","192.168.68.126","52.177.165.30","54062","443",,
"118","9.624698000","TCP","6","162.159.128.233","192.168.68.126","443","55864",,
"119","9.698574000","TCP","6","52.177.165.30","192.168.68.126","443","54062",,
"120","9.698635000","TLSv1.2","6","192.168.68.126","52.177.165.30","54062","443",,
"121","9.742799000","TLSv1.2","6","52.177.165.30","192.168.68.126","443","54062",,
"122","9.742895000","TCP","6","192.168.68.126","52.177.165.30","54062","443",,
"123","9.882897000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"124","9.910513000","TCP","6","162.159.128.233","192.168.68.126","443","55865",,
"125","10.800295000","ARP",,,,,,,
"126","11.824295000","ARP",,,,,,,
"127","12.029683000","ARP",,,,,,,
"128","12.745781000","ARP",,,,,,,
"129","13.258227000","ARP",,,,,,,
"130","14.282238000","ARP",,,,,,,
"131","14.487054000","ARP",,,,,,,
"132","15.305815000","ARP",,,,,,,
"133","15.561292000","TLSv1.2","6","192.168.68.126","162.159.128.233","55865","443",,
"134","15.561293000","TLSv1.2","6","192.168.68.126","162.159.128.233","55865","443",,
"135","15.597454000","TCP","6","162.159.128.233","192.168.68.126","443","55865",,
"136","15.597458000","TCP","6","162.159.128.233","192.168.68.126","443","55865",,
"137","15.597459000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"138","15.597547000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"139","15.717074000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"140","15.717077000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"141","15.717078000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"142","15.717079000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"143","15.717080000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"144","15.717148000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"145","15.717148000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"146","15.717197000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"147","15.717197000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"148","15.717227000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"149","15.817439000","ARP",,,,,,,
"150","15.946993000","TLSv1.2","6","192.168.68.126","34.203.91.157","55579","443",,
"151","15.947119000","TLSv1.2","6","192.168.68.126","34.203.91.157","55583","443",,
"152","15.947247000","TLSv1.2","6","192.168.68.126","34.203.91.157","55587","443",,
"153","15.995784000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55579",,
"154","15.995841000","TCP","6","192.168.68.126","34.203.91.157","55579","443",,
"155","16.000139000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55583",,
"156","16.000141000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55587",,
"157","16.000206000","TCP","6","192.168.68.126","34.203.91.157","55583","443",,
"158","16.000206000","TCP","6","192.168.68.126","34.203.91.157","55587","443",,
"159","16.148225000","DNS","17","192.168.68.126","71.10.216.1",,,"64772","53"
"160","16.151180000","DNS","17","192.168.68.126","71.10.216.1",,,"54890","53"
"161","16.151259000","DNS","17","192.168.68.126","71.10.216.1",,,"54528","53"
"162","16.181362000","DNS","17","71.10.216.1","192.168.68.126",,,"53","64772"
"163","16.182000000","TCP","6","192.168.68.126","162.159.128.232","55898","443",,
"164","16.183186000","TLSv1.2","6","192.168.68.126","35.173.87.46","55894","443",,
"165","16.183439000","TLSv1.2","6","192.168.68.126","35.173.87.46","55894","443",,
"166","16.187743000","DNS","17","71.10.216.1","192.168.68.126",,,"53","54528"
"167","16.187747000","DNS","17","71.10.216.1","192.168.68.126",,,"53","54890"
"168","16.188280000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"169","16.188380000","TCP","6","192.168.68.126","162.159.130.232","55900","443",,
"170","16.191735000","TCP","6","192.168.68.126","35.173.87.46","55901","443",,
"171","16.192616000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"172","16.210842000","TCP","6","162.159.128.232","192.168.68.126","443","55898",,
"173","16.210909000","TCP","6","192.168.68.126","162.159.128.232","55898","443",,
"174","16.211117000","TLSv1","6","192.168.68.126","162.159.128.232","55898","443",,
"175","16.213069000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"176","16.214208000","TLSv1.2","6","192.168.68.126","162.159.128.233","55865","443",,
"177","16.214231000","TLSv1.2","6","192.168.68.126","162.159.128.233","55865","443",,
"178","16.218701000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
"179","16.218704000","TCP","6","162.159.130.232","192.168.68.126","443","55900",,
"180","16.218764000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"181","16.218790000","TCP","6","192.168.68.126","162.159.130.232","55900","443",,
"182","16.218928000","TLSv1","6","192.168.68.126","162.159.133.232","55899","443",,
"183","16.219057000","TLSv1","6","192.168.68.126","162.159.130.232","55900","443",,
"184","16.220672000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"185","16.221245000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"186","16.232100000","TCP","6","35.173.87.46","192.168.68.126","443","55894",,
"187","16.232103000","TCP","6","35.173.87.46","192.168.68.126","443","55901",,
"188","16.232103000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55894",,
"189","16.232186000","TCP","6","192.168.68.126","35.173.87.46","55901","443",,
"190","16.232187000","TCP","6","192.168.68.126","35.173.87.46","55894","443",,
"191","16.232629000","TLSv1","6","192.168.68.126","35.173.87.46","55901","443",,
"192","16.236292000","TCP","6","35.173.87.46","192.168.68.126","443","55902",,
"193","16.236361000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"194","16.236740000","TLSv1","6","192.168.68.126","35.173.87.46","55902","443",,
"195","16.245932000","TCP","6","162.159.128.232","192.168.68.126","443","55898",,
"196","16.245935000","TLSv1.3","6","162.159.128.232","192.168.68.126","443","55898",,
"197","16.245936000","TLSv1.3","6","162.159.128.232","192.168.68.126","443","55898",,
"198","16.246005000","TCP","6","192.168.68.126","162.159.128.232","55898","443",,
"199","16.253531000","TCP","6","162.159.128.233","192.168.68.126","443","55865",,
"200","16.253535000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
"201","16.253536000","TCP","6","35.173.87.46","192.168.68.126","443","55903",,
"202","16.253536000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"203","16.253537000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"204","16.253607000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"205","16.253629000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"206","16.254187000","TLSv1","6","192.168.68.126","35.173.87.46","55903","443",,
"207","16.256532000","TCP","6","162.159.130.232","192.168.68.126","443","55900",,
"208","16.256535000","TLSv1.3","6","162.159.130.232","192.168.68.126","443","55900",,
"209","16.256536000","TLSv1.3","6","162.159.130.232","192.168.68.126","443","55900",,
"210","16.256595000","TCP","6","192.168.68.126","162.159.130.232","55900","443",,
"211","16.262408000","TCP","6","35.173.87.46","192.168.68.126","443","55904",,
"212","16.262411000","TCP","6","35.173.87.46","192.168.68.126","443","55905",,
"213","16.262478000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"214","16.262478000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"215","16.262838000","TLSv1","6","192.168.68.126","35.173.87.46","55904","443",,
"216","16.263187000","TLSv1","6","192.168.68.126","35.173.87.46","55905","443",,
"217","16.268022000","TLSv1.2","6","162.159.128.233","192.168.68.126","443","55865",,
"218","16.268074000","TCP","6","192.168.68.126","162.159.128.233","55865","443",,
"219","16.274300000","TLSv1.3","6","192.168.68.126","162.159.128.232","55898","443",,
"220","16.274429000","TLSv1.3","6","192.168.68.126","162.159.128.232","55898","443",,
"221","16.274561000","TLSv1.3","6","192.168.68.126","162.159.128.232","55898","443",,
"222","16.274584000","TLSv1.3","6","192.168.68.126","162.159.128.232","55898","443",,
"223","16.281009000","TCP","6","35.173.87.46","192.168.68.126","443","55901",,
"224","16.281013000","TCP","6","35.173.87.46","192.168.68.126","443","55901",,
"225","16.281013000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55901",,
